name	craft	giTag	district	state	coordinates	significance	odopProduct	heritageNote	description	Address	Looms Available	Weaver / Owner
Artisan ASS-105	Eri Peace Silk	N/A	Kamrup	Assam	[26.1424, 91.6421]	9	Eri Peace Silk Specialty	Thermal warm silk spun without killing the moth pupae inside the cocoons.	Master craft specialist creating premium Eri Peace Silk. Registered generational family unit.	Artisan Cluster, Kamrup, Assam	2	Artisan ASS-105
Artisan ASS-106	Cane & Bamboo Craft	N/A	Barpeta	Assam	[26.3214, 91.0042]	8	Cane & Bamboo Craft Specialty	Sturdy lightweight furniture pieces hand-split from native sub-tropical bamboo canes.	Master craft specialist creating premium Cane & Bamboo Craft. Registered generational family unit.	Artisan Cluster, Barpeta, Assam	N/A	Artisan ASS-106
Artisan ASS-107	Muga Golden Silk	N/A	Sualkuchi	Assam	[26.2643, 91.5742]	9	Muga Golden Silk Specialty	Shining golden silk spun from endemic Antheraea assamensis silkworms.	Master craft specialist creating premium Muga Golden Silk. Registered generational family unit.	Artisan Cluster, Sualkuchi, Assam	2	Artisan ASS-107
Artisan ASS-108	Eri Peace Silk	N/A	Kamrup	Assam	[26.1424, 91.6421]	8	Eri Peace Silk Specialty	Thermal warm silk spun without killing the moth pupae inside the cocoons.	Master craft specialist creating premium Eri Peace Silk. Registered generational family unit.	Artisan Cluster, Kamrup, Assam	2	Artisan ASS-108
Artisan ASS-109	Cane & Bamboo Craft	N/A	Barpeta	Assam	[26.3214, 91.0042]	9	Cane & Bamboo Craft Specialty	Sturdy lightweight furniture pieces hand-split from native sub-tropical bamboo canes.	Master craft specialist creating premium Cane & Bamboo Craft. Registered generational family unit.	Artisan Cluster, Barpeta, Assam	N/A	Artisan ASS-109
Artisan ASS-110	Muga Golden Silk	N/A	Sualkuchi	Assam	[26.2643, 91.5742]	8	Muga Golden Silk Specialty	Shining golden silk spun from endemic Antheraea assamensis silkworms.	Master craft specialist creating premium Muga Golden Silk. Registered generational family unit.	Artisan Cluster, Sualkuchi, Assam	2	Artisan ASS-110
Artisan ASS-111	Eri Peace Silk	N/A	Kamrup	Assam	[26.1424, 91.6421]	9	Eri Peace Silk Specialty	Thermal warm silk spun without killing the moth pupae inside the cocoons.	Master craft specialist creating premium Eri Peace Silk. Registered generational family unit.	Artisan Cluster, Kamrup, Assam	2	Artisan ASS-111
Artisan ASS-112	Cane & Bamboo Craft	N/A	Barpeta	Assam	[26.3214, 91.0042]	8	Cane & Bamboo Craft Specialty	Sturdy lightweight furniture pieces hand-split from native sub-tropical bamboo canes.	Master craft specialist creating premium Cane & Bamboo Craft. Registered generational family unit.	Artisan Cluster, Barpeta, Assam	N/A	Artisan ASS-112
Artisan ASS-113	Muga Golden Silk	N/A	Sualkuchi	Assam	[26.2643, 91.5742]	9	Muga Golden Silk Specialty	Shining golden silk spun from endemic Antheraea assamensis silkworms.	Master craft specialist creating premium Muga Golden Silk. Registered generational family unit.	Artisan Cluster, Sualkuchi, Assam	2	Artisan ASS-113
Artisan ASS-114	Eri Peace Silk	N/A	Kamrup	Assam	[26.1424, 91.6421]	8	Eri Peace Silk Specialty	Thermal warm silk spun without killing the moth pupae inside the cocoons.	Master craft specialist creating premium Eri Peace Silk. Registered generational family unit.	Artisan Cluster, Kamrup, Assam	2	Artisan ASS-114
Artisan ASS-115	Cane & Bamboo Craft	N/A	Barpeta	Assam	[26.3214, 91.0042]	9	Cane & Bamboo Craft Specialty	Sturdy lightweight furniture pieces hand-split from native sub-tropical bamboo canes.	Master craft specialist creating premium Cane & Bamboo Craft. Registered generational family unit.	Artisan Cluster, Barpeta, Assam	N/A	Artisan ASS-115
Artisan NAG-101	Handloom Textile	N/A	Central District	Nagaland	[20.0000, 78.0000]	9	Handloom Textile Specialty	Traditional regional craft passed down through heritage families.	Master craft specialist creating premium Handloom Textile. Registered generational family unit.	Artisan Cluster, Central District, Nagaland	N/A	Artisan NAG-101
Artisan NAG-102	Terracotta Clay Art	N/A	East District	Nagaland	[21.0000, 79.0000]	8	Terracotta Clay Art Specialty	Hand-fired soil pottery made using local earthy clay blends.	Master craft specialist creating premium Terracotta Clay Art. Registered generational family unit.	Artisan Cluster, East District, Nagaland	N/A	Artisan NAG-102
Artisan NAG-103	Bamboo Basketry	N/A	North District	Nagaland	[22.0000, 80.0000]	9	Bamboo Basketry Specialty	Woven utility products structured using splits of mature forest timber stems.	Master craft specialist creating premium Bamboo Basketry. Registered generational family unit.	Artisan Cluster, North District, Nagaland	N/A	Artisan NAG-103
Artisan NAG-104	Handloom Textile	N/A	Central District	Nagaland	[20.0000, 78.0000]	8	Handloom Textile Specialty	Traditional regional craft passed down through heritage families.	Master craft specialist creating premium Handloom Textile. Registered generational family unit.	Artisan Cluster, Central District, Nagaland	N/A	Artisan NAG-104
Artisan NAG-105	Terracotta Clay Art	N/A	East District	Nagaland	[21.0000, 79.0000]	9	Terracotta Clay Art Specialty	Hand-fired soil pottery made using local earthy clay blends.	Master craft specialist creating premium Terracotta Clay Art. Registered generational family unit.	Artisan Cluster, East District, Nagaland	N/A	Artisan NAG-105
Artisan NAG-106	Bamboo Basketry	N/A	North District	Nagaland	[22.0000, 80.0000]	8	Bamboo Basketry Specialty	Woven utility products structured using splits of mature forest timber stems.	Master craft specialist creating premium Bamboo Basketry. Registered generational family unit.	Artisan Cluster, North District, Nagaland	N/A	Artisan NAG-106
Artisan NAG-107	Handloom Textile	N/A	Central District	Nagaland	[20.0000, 78.0000]	9	Handloom Textile Specialty	Traditional regional craft passed down through heritage families.	Master craft specialist creating premium Handloom Textile. Registered generational family unit.	Artisan Cluster, Central District, Nagaland	N/A	Artisan NAG-107
Artisan NAG-108	Terracotta Clay Art	N/A	East District	Nagaland	[21.0000, 79.0000]	8	Terracotta Clay Art Specialty	Hand-fired soil pottery made using local earthy clay blends.	Master craft specialist creating premium Terracotta Clay Art. Registered generational family unit.	Artisan Cluster, East District, Nagaland	N/A	Artisan NAG-108
Artisan NAG-109	Bamboo Basketry	N/A	North District	Nagaland	[22.0000, 80.0000]	9	Bamboo Basketry Specialty	Woven utility products structured using splits of mature forest timber stems.	Master craft specialist creating premium Bamboo Basketry. Registered generational family unit.	Artisan Cluster, North District, Nagaland	N/A	Artisan NAG-109
Artisan NAG-110	Handloom Textile	N/A	Central District	Nagaland	[20.0000, 78.0000]	8	Handloom Textile Specialty	Traditional regional craft passed down through heritage families.	Master craft specialist creating premium Handloom Textile. Registered generational family unit.	Artisan Cluster, Central District, Nagaland	N/A	Artisan NAG-110
Artisan NAG-111	Terracotta Clay Art	N/A	East District	Nagaland	[21.0000, 79.0000]	9	Terracotta Clay Art Specialty	Hand-fired soil pottery made using local earthy clay blends.	Master craft specialist creating premium Terracotta Clay Art. Registered generational family unit.	Artisan Cluster, East District, Nagaland	N/A	Artisan NAG-111
Artisan NAG-112	Bamboo Basketry	N/A	North District	Nagaland	[22.0000, 80.0000]	8	Bamboo Basketry Specialty	Woven utility products structured using splits of mature forest timber stems.	Master craft specialist creating premium Bamboo Basketry. Registered generational family unit.	Artisan Cluster, North District, Nagaland	N/A	Artisan NAG-112
Artisan NAG-113	Handloom Textile	N/A	Central District	Nagaland	[20.0000, 78.0000]	9	Handloom Textile Specialty	Traditional regional craft passed down through heritage families.	Master craft specialist creating premium Handloom Textile. Registered generational family unit.	Artisan Cluster, Central District, Nagaland	N/A	Artisan NAG-113
Artisan NAG-114	Terracotta Clay Art	N/A	East District	Nagaland	[21.0000, 79.0000]	8	Terracotta Clay Art Specialty	Hand-fired soil pottery made using local earthy clay blends.	Master craft specialist creating premium Terracotta Clay Art. Registered generational family unit.	Artisan Cluster, East District, Nagaland	N/A	Artisan NAG-114
Artisan NAG-115	Bamboo Basketry	N/A	North District	Nagaland	[22.0000, 80.0000]	9	Bamboo Basketry Specialty	Woven utility products structured using splits of mature forest timber stems.	Master craft specialist creating premium Bamboo Basketry. Registered generational family unit.	Artisan Cluster, North District, Nagaland	N/A	Artisan NAG-115
Artisan MAN-101	Handloom Textile	N/A	Central District	Manipur	[20.0000, 78.0000]	9	Handloom Textile Specialty	Traditional regional craft passed down through heritage families.	Master craft specialist creating premium Handloom Textile. Registered generational family unit.	Artisan Cluster, Central District, Manipur	N/A	Artisan MAN-101
Artisan MAN-102	Terracotta Clay Art	N/A	East District	Manipur	[21.0000, 79.0000]	8	Terracotta Clay Art Specialty	Hand-fired soil pottery made using local earthy clay blends.	Master craft specialist creating premium Terracotta Clay Art. Registered generational family unit.	Artisan Cluster, East District, Manipur	N/A	Artisan MAN-102
Artisan MAN-103	Bamboo Basketry	N/A	North District	Manipur	[22.0000, 80.0000]	9	Bamboo Basketry Specialty	Woven utility products structured using splits of mature forest timber stems.	Master craft specialist creating premium Bamboo Basketry. Registered generational family unit.	Artisan Cluster, North District, Manipur	N/A	Artisan MAN-103
Artisan MAN-104	Handloom Textile	N/A	Central District	Manipur	[20.0000, 78.0000]	8	Handloom Textile Specialty	Traditional regional craft passed down through heritage families.	Master craft specialist creating premium Handloom Textile. Registered generational family unit.	Artisan Cluster, Central District, Manipur	N/A	Artisan MAN-104
Artisan MAN-105	Terracotta Clay Art	N/A	East District	Manipur	[21.0000, 79.0000]	9	Terracotta Clay Art Specialty	Hand-fired soil pottery made using local earthy clay blends.	Master craft specialist creating premium Terracotta Clay Art. Registered generational family unit.	Artisan Cluster, East District, Manipur	N/A	Artisan MAN-105
Artisan MAN-106	Bamboo Basketry	N/A	North District	Manipur	[22.0000, 80.0000]	8	Bamboo Basketry Specialty	Woven utility products structured using splits of mature forest timber stems.	Master craft specialist creating premium Bamboo Basketry. Registered generational family unit.	Artisan Cluster, North District, Manipur	N/A	Artisan MAN-106
Artisan MAN-107	Handloom Textile	N/A	Central District	Manipur	[20.0000, 78.0000]	9	Handloom Textile Specialty	Traditional regional craft passed down through heritage families.	Master craft specialist creating premium Handloom Textile. Registered generational family unit.	Artisan Cluster, Central District, Manipur	N/A	Artisan MAN-107
Artisan MAN-108	Terracotta Clay Art	N/A	East District	Manipur	[21.0000, 79.0000]	8	Terracotta Clay Art Specialty	Hand-fired soil pottery made using local earthy clay blends.	Master craft specialist creating premium Terracotta Clay Art. Registered generational family unit.	Artisan Cluster, East District, Manipur	N/A	Artisan MAN-108
Artisan MAN-109	Bamboo Basketry	N/A	North District	Manipur	[22.0000, 80.0000]	9	Bamboo Basketry Specialty	Woven utility products structured using splits of mature forest timber stems.	Master craft specialist creating premium Bamboo Basketry. Registered generational family unit.	Artisan Cluster, North District, Manipur	N/A	Artisan MAN-109
Artisan MAN-110	Handloom Textile	N/A	Central District	Manipur	[20.0000, 78.0000]	8	Handloom Textile Specialty	Traditional regional craft passed down through heritage families.	Master craft specialist creating premium Handloom Textile. Registered generational family unit.	Artisan Cluster, Central District, Manipur	N/A	Artisan MAN-110
Artisan MAN-111	Terracotta Clay Art	N/A	East District	Manipur	[21.0000, 79.0000]	9	Terracotta Clay Art Specialty	Hand-fired soil pottery made using local earthy clay blends.	Master craft specialist creating premium Terracotta Clay Art. Registered generational family unit.	Artisan Cluster, East District, Manipur	N/A	Artisan MAN-111
Artisan MAN-112	Bamboo Basketry	N/A	North District	Manipur	[22.0000, 80.0000]	8	Bamboo Basketry Specialty	Woven utility products structured using splits of mature forest timber stems.	Master craft specialist creating premium Bamboo Basketry. Registered generational family unit.	Artisan Cluster, North District, Manipur	N/A	Artisan MAN-112
Artisan MAN-113	Handloom Textile	N/A	Central District	Manipur	[20.0000, 78.0000]	9	Handloom Textile Specialty	Traditional regional craft passed down through heritage families.	Master craft specialist creating premium Handloom Textile. Registered generational family unit.	Artisan Cluster, Central District, Manipur	N/A	Artisan MAN-113
Artisan MAN-114	Terracotta Clay Art	N/A	East District	Manipur	[21.0000, 79.0000]	8	Terracotta Clay Art Specialty	Hand-fired soil pottery made using local earthy clay blends.	Master craft specialist creating premium Terracotta Clay Art. Registered generational family unit.	Artisan Cluster, East District, Manipur	N/A	Artisan MAN-114
Artisan MAN-115	Bamboo Basketry	N/A	North District	Manipur	[22.0000, 80.0000]	9	Bamboo Basketry Specialty	Woven utility products structured using splits of mature forest timber stems.	Master craft specialist creating premium Bamboo Basketry. Registered generational family unit.	Artisan Cluster, North District, Manipur	N/A	Artisan MAN-115
Artisan MEG-101	Handloom Textile	N/A	Central District	Meghalaya	[20.0000, 78.0000]	9	Handloom Textile Specialty	Traditional regional craft passed down through heritage families.	Master craft specialist creating premium Handloom Textile. Registered generational family unit.	Artisan Cluster, Central District, Meghalaya	N/A	Artisan MEG-101
Artisan MEG-102	Terracotta Clay Art	N/A	East District	Meghalaya	[21.0000, 79.0000]	8	Terracotta Clay Art Specialty	Hand-fired soil pottery made using local earthy clay blends.	Master craft specialist creating premium Terracotta Clay Art. Registered generational family unit.	Artisan Cluster, East District, Meghalaya	N/A	Artisan MEG-102
Artisan MEG-103	Bamboo Basketry	N/A	North District	Meghalaya	[22.0000, 80.0000]	9	Bamboo Basketry Specialty	Woven utility products structured using splits of mature forest timber stems.	Master craft specialist creating premium Bamboo Basketry. Registered generational family unit.	Artisan Cluster, North District, Meghalaya	N/A	Artisan MEG-103
Artisan MEG-104	Handloom Textile	N/A	Central District	Meghalaya	[20.0000, 78.0000]	8	Handloom Textile Specialty	Traditional regional craft passed down through heritage families.	Master craft specialist creating premium Handloom Textile. Registered generational family unit.	Artisan Cluster, Central District, Meghalaya	N/A	Artisan MEG-104
Artisan MEG-105	Terracotta Clay Art	N/A	East District	Meghalaya	[21.0000, 79.0000]	9	Terracotta Clay Art Specialty	Hand-fired soil pottery made using local earthy clay blends.	Master craft specialist creating premium Terracotta Clay Art. Registered generational family unit.	Artisan Cluster, East District, Meghalaya	N/A	Artisan MEG-105
Artisan MEG-106	Bamboo Basketry	N/A	North District	Meghalaya	[22.0000, 80.0000]	8	Bamboo Basketry Specialty	Woven utility products structured using splits of mature forest timber stems.	Master craft specialist creating premium Bamboo Basketry. Registered generational family unit.	Artisan Cluster, North District, Meghalaya	N/A	Artisan MEG-106
Artisan MEG-107	Handloom Textile	N/A	Central District	Meghalaya	[20.0000, 78.0000]	9	Handloom Textile Specialty	Traditional regional craft passed down through heritage families.	Master craft specialist creating premium Handloom Textile. Registered generational family unit.	Artisan Cluster, Central District, Meghalaya	N/A	Artisan MEG-107
Artisan MEG-108	Terracotta Clay Art	N/A	East District	Meghalaya	[21.0000, 79.0000]	8	Terracotta Clay Art Specialty	Hand-fired soil pottery made using local earthy clay blends.	Master craft specialist creating premium Terracotta Clay Art. Registered generational family unit.	Artisan Cluster, East District, Meghalaya	N/A	Artisan MEG-108
Artisan MEG-109	Bamboo Basketry	N/A	North District	Meghalaya	[22.0000, 80.0000]	9	Bamboo Basketry Specialty	Woven utility products structured using splits of mature forest timber stems.	Master craft specialist creating premium Bamboo Basketry. Registered generational family unit.	Artisan Cluster, North District, Meghalaya	N/A	Artisan MEG-109
Artisan MEG-110	Handloom Textile	N/A	Central District	Meghalaya	[20.0000, 78.0000]	8	Handloom Textile Specialty	Traditional regional craft passed down through heritage families.	Master craft specialist creating premium Handloom Textile. Registered generational family unit.	Artisan Cluster, Central District, Meghalaya	N/A	Artisan MEG-110
Artisan MEG-111	Terracotta Clay Art	N/A	East District	Meghalaya	[21.0000, 79.0000]	9	Terracotta Clay Art Specialty	Hand-fired soil pottery made using local earthy clay blends.	Master craft specialist creating premium Terracotta Clay Art. Registered generational family unit.	Artisan Cluster, East District, Meghalaya	N/A	Artisan MEG-111
Artisan MEG-112	Bamboo Basketry	N/A	North District	Meghalaya	[22.0000, 80.0000]	8	Bamboo Basketry Specialty	Woven utility products structured using splits of mature forest timber stems.	Master craft specialist creating premium Bamboo Basketry. Registered generational family unit.	Artisan Cluster, North District, Meghalaya	N/A	Artisan MEG-112
Artisan MEG-113	Handloom Textile	N/A	Central District	Meghalaya	[20.0000, 78.0000]	9	Handloom Textile Specialty	Traditional regional craft passed down through heritage families.	Master craft specialist creating premium Handloom Textile. Registered generational family unit.	Artisan Cluster, Central District, Meghalaya	N/A	Artisan MEG-113
Artisan MEG-114	Terracotta Clay Art	N/A	East District	Meghalaya	[21.0000, 79.0000]	8	Terracotta Clay Art Specialty	Hand-fired soil pottery made using local earthy clay blends.	Master craft specialist creating premium Terracotta Clay Art. Registered generational family unit.	Artisan Cluster, East District, Meghalaya	N/A	Artisan MEG-114
Artisan MEG-115	Bamboo Basketry	N/A	North District	Meghalaya	[22.0000, 80.0000]	9	Bamboo Basketry Specialty	Woven utility products structured using splits of mature forest timber stems.	Master craft specialist creating premium Bamboo Basketry. Registered generational family unit.	Artisan Cluster, North District, Meghalaya	N/A	Artisan MEG-115
Artisan ARU-101	Handloom Textile	N/A	Central District	Arunachal Pradesh	[20.0000, 78.0000]	9	Handloom Textile Specialty	Traditional regional craft passed down through heritage families.	Master craft specialist creating premium Handloom Textile. Registered generational family unit.	Artisan Cluster, Central District, Arunachal Pradesh	N/A	Artisan ARU-101
Artisan ARU-102	Terracotta Clay Art	N/A	East District	Arunachal Pradesh	[21.0000, 79.0000]	8	Terracotta Clay Art Specialty	Hand-fired soil pottery made using local earthy clay blends.	Master craft specialist creating premium Terracotta Clay Art. Registered generational family unit.	Artisan Cluster, East District, Arunachal Pradesh	N/A	Artisan ARU-102
Artisan ARU-103	Bamboo Basketry	N/A	North District	Arunachal Pradesh	[22.0000, 80.0000]	9	Bamboo Basketry Specialty	Woven utility products structured using splits of mature forest timber stems.	Master craft specialist creating premium Bamboo Basketry. Registered generational family unit.	Artisan Cluster, North District, Arunachal Pradesh	N/A	Artisan ARU-103
Artisan ARU-104	Handloom Textile	N/A	Central District	Arunachal Pradesh	[20.0000, 78.0000]	8	Handloom Textile Specialty	Traditional regional craft passed down through heritage families.	Master craft specialist creating premium Handloom Textile. Registered generational family unit.	Artisan Cluster, Central District, Arunachal Pradesh	N/A	Artisan ARU-104
Artisan ARU-105	Terracotta Clay Art	N/A	East District	Arunachal Pradesh	[21.0000, 79.0000]	9	Terracotta Clay Art Specialty	Hand-fired soil pottery made using local earthy clay blends.	Master craft specialist creating premium Terracotta Clay Art. Registered generational family unit.	Artisan Cluster, East District, Arunachal Pradesh	N/A	Artisan ARU-105
Artisan ARU-106	Bamboo Basketry	N/A	North District	Arunachal Pradesh	[22.0000, 80.0000]	8	Bamboo Basketry Specialty	Woven utility products structured using splits of mature forest timber stems.	Master craft specialist creating premium Bamboo Basketry. Registered generational family unit.	Artisan Cluster, North District, Arunachal Pradesh	N/A	Artisan ARU-106
Artisan ARU-107	Handloom Textile	N/A	Central District	Arunachal Pradesh	[20.0000, 78.0000]	9	Handloom Textile Specialty	Traditional regional craft passed down through heritage families.	Master craft specialist creating premium Handloom Textile. Registered generational family unit.	Artisan Cluster, Central District, Arunachal Pradesh	N/A	Artisan ARU-107
Artisan ARU-108	Terracotta Clay Art	N/A	East District	Arunachal Pradesh	[21.0000, 79.0000]	8	Terracotta Clay Art Specialty	Hand-fired soil pottery made using local earthy clay blends.	Master craft specialist creating premium Terracotta Clay Art. Registered generational family unit.	Artisan Cluster, East District, Arunachal Pradesh	N/A	Artisan ARU-108
Artisan ARU-109	Bamboo Basketry	N/A	North District	Arunachal Pradesh	[22.0000, 80.0000]	9	Bamboo Basketry Specialty	Woven utility products structured using splits of mature forest timber stems.	Master craft specialist creating premium Bamboo Basketry. Registered generational family unit.	Artisan Cluster, North District, Arunachal Pradesh	N/A	Artisan ARU-109
Artisan ARU-110	Handloom Textile	N/A	Central District	Arunachal Pradesh	[20.0000, 78.0000]	8	Handloom Textile Specialty	Traditional regional craft passed down through heritage families.	Master craft specialist creating premium Handloom Textile. Registered generational family unit.	Artisan Cluster, Central District, Arunachal Pradesh	N/A	Artisan ARU-110
Artisan ARU-111	Terracotta Clay Art	N/A	East District	Arunachal Pradesh	[21.0000, 79.0000]	9	Terracotta Clay Art Specialty	Hand-fired soil pottery made using local earthy clay blends.	Master craft specialist creating premium Terracotta Clay Art. Registered generational family unit.	Artisan Cluster, East District, Arunachal Pradesh	N/A	Artisan ARU-111
Artisan ARU-112	Bamboo Basketry	N/A	North District	Arunachal Pradesh	[22.0000, 80.0000]	8	Bamboo Basketry Specialty	Woven utility products structured using splits of mature forest timber stems.	Master craft specialist creating premium Bamboo Basketry. Registered generational family unit.	Artisan Cluster, North District, Arunachal Pradesh	N/A	Artisan ARU-112
Artisan ARU-113	Handloom Textile	N/A	Central District	Arunachal Pradesh	[20.0000, 78.0000]	9	Handloom Textile Specialty	Traditional regional craft passed down through heritage families.	Master craft specialist creating premium Handloom Textile. Registered generational family unit.	Artisan Cluster, Central District, Arunachal Pradesh	N/A	Artisan ARU-113
Artisan ARU-114	Terracotta Clay Art	N/A	East District	Arunachal Pradesh	[21.0000, 79.0000]	8	Terracotta Clay Art Specialty	Hand-fired soil pottery made using local earthy clay blends.	Master craft specialist creating premium Terracotta Clay Art. Registered generational family unit.	Artisan Cluster, East District, Arunachal Pradesh	N/A	Artisan ARU-114
Artisan ARU-115	Bamboo Basketry	N/A	North District	Arunachal Pradesh	[22.0000, 80.0000]	9	Bamboo Basketry Specialty	Woven utility products structured using splits of mature forest timber stems.	Master craft specialist creating premium Bamboo Basketry. Registered generational family unit.	Artisan Cluster, North District, Arunachal Pradesh	N/A	Artisan ARU-115
Artisan TRI-101	Handloom Textile	N/A	Central District	Tripura	[20.0000, 78.0000]	9	Handloom Textile Specialty	Traditional regional craft passed down through heritage families.	Master craft specialist creating premium Handloom Textile. Registered generational family unit.	Artisan Cluster, Central District, Tripura	N/A	Artisan TRI-101
Artisan TRI-102	Terracotta Clay Art	N/A	East District	Tripura	[21.0000, 79.0000]	8	Terracotta Clay Art Specialty	Hand-fired soil pottery made using local earthy clay blends.	Master craft specialist creating premium Terracotta Clay Art. Registered generational family unit.	Artisan Cluster, East District, Tripura	N/A	Artisan TRI-102
Artisan TRI-103	Bamboo Basketry	N/A	North District	Tripura	[22.0000, 80.0000]	9	Bamboo Basketry Specialty	Woven utility products structured using splits of mature forest timber stems.	Master craft specialist creating premium Bamboo Basketry. Registered generational family unit.	Artisan Cluster, North District, Tripura	N/A	Artisan TRI-103
Artisan TRI-104	Handloom Textile	N/A	Central District	Tripura	[20.0000, 78.0000]	8	Handloom Textile Specialty	Traditional regional craft passed down through heritage families.	Master craft specialist creating premium Handloom Textile. Registered generational family unit.	Artisan Cluster, Central District, Tripura	N/A	Artisan TRI-104
Artisan TRI-105	Terracotta Clay Art	N/A	East District	Tripura	[21.0000, 79.0000]	9	Terracotta Clay Art Specialty	Hand-fired soil pottery made using local earthy clay blends.	Master craft specialist creating premium Terracotta Clay Art. Registered generational family unit.	Artisan Cluster, East District, Tripura	N/A	Artisan TRI-105
Artisan TRI-106	Bamboo Basketry	N/A	North District	Tripura	[22.0000, 80.0000]	8	Bamboo Basketry Specialty	Woven utility products structured using splits of mature forest timber stems.	Master craft specialist creating premium Bamboo Basketry. Registered generational family unit.	Artisan Cluster, North District, Tripura	N/A	Artisan TRI-106
Artisan TRI-107	Handloom Textile	N/A	Central District	Tripura	[20.0000, 78.0000]	9	Handloom Textile Specialty	Traditional regional craft passed down through heritage families.	Master craft specialist creating premium Handloom Textile. Registered generational family unit.	Artisan Cluster, Central District, Tripura	N/A	Artisan TRI-107
Artisan TRI-108	Terracotta Clay Art	N/A	East District	Tripura	[21.0000, 79.0000]	8	Terracotta Clay Art Specialty	Hand-fired soil pottery made using local earthy clay blends.	Master craft specialist creating premium Terracotta Clay Art. Registered generational family unit.	Artisan Cluster, East District, Tripura	N/A	Artisan TRI-108
Artisan TRI-109	Bamboo Basketry	N/A	North District	Tripura	[22.0000, 80.0000]	9	Bamboo Basketry Specialty	Woven utility products structured using splits of mature forest timber stems.	Master craft specialist creating premium Bamboo Basketry. Registered generational family unit.	Artisan Cluster, North District, Tripura	N/A	Artisan TRI-109
Artisan TRI-110	Handloom Textile	N/A	Central District	Tripura	[20.0000, 78.0000]	8	Handloom Textile Specialty	Traditional regional craft passed down through heritage families.	Master craft specialist creating premium Handloom Textile. Registered generational family unit.	Artisan Cluster, Central District, Tripura	N/A	Artisan TRI-110
Artisan TRI-111	Terracotta Clay Art	N/A	East District	Tripura	[21.0000, 79.0000]	9	Terracotta Clay Art Specialty	Hand-fired soil pottery made using local earthy clay blends.	Master craft specialist creating premium Terracotta Clay Art. Registered generational family unit.	Artisan Cluster, East District, Tripura	N/A	Artisan TRI-111
Artisan TRI-112	Bamboo Basketry	N/A	North District	Tripura	[22.0000, 80.0000]	8	Bamboo Basketry Specialty	Woven utility products structured using splits of mature forest timber stems.	Master craft specialist creating premium Bamboo Basketry. Registered generational family unit.	Artisan Cluster, North District, Tripura	N/A	Artisan TRI-112
Artisan TRI-113	Handloom Textile	N/A	Central District	Tripura	[20.0000, 78.0000]	9	Handloom Textile Specialty	Traditional regional craft passed down through heritage families.	Master craft specialist creating premium Handloom Textile. Registered generational family unit.	Artisan Cluster, Central District, Tripura	N/A	Artisan TRI-113
Artisan TRI-114	Terracotta Clay Art	N/A	East District	Tripura	[21.0000, 79.0000]	8	Terracotta Clay Art Specialty	Hand-fired soil pottery made using local earthy clay blends.	Master craft specialist creating premium Terracotta Clay Art. Registered generational family unit.	Artisan Cluster, East District, Tripura	N/A	Artisan TRI-114
Artisan TRI-115	Bamboo Basketry	N/A	North District	Tripura	[22.0000, 80.0000]	9	Bamboo Basketry Specialty	Woven utility products structured using splits of mature forest timber stems.	Master craft specialist creating premium Bamboo Basketry. Registered generational family unit.	Artisan Cluster, North District, Tripura	N/A	Artisan TRI-115
Artisan MIZ-101	Handloom Textile	N/A	Central District	Mizoram	[20.0000, 78.0000]	9	Handloom Textile Specialty	Traditional regional craft passed down through heritage families.	Master craft specialist creating premium Handloom Textile. Registered generational family unit.	Artisan Cluster, Central District, Mizoram	N/A	Artisan MIZ-101
Artisan MIZ-102	Terracotta Clay Art	N/A	East District	Mizoram	[21.0000, 79.0000]	8	Terracotta Clay Art Specialty	Hand-fired soil pottery made using local earthy clay blends.	Master craft specialist creating premium Terracotta Clay Art. Registered generational family unit.	Artisan Cluster, East District, Mizoram	N/A	Artisan MIZ-102
Artisan MIZ-103	Bamboo Basketry	N/A	North District	Mizoram	[22.0000, 80.0000]	9	Bamboo Basketry Specialty	Woven utility products structured using splits of mature forest timber stems.	Master craft specialist creating premium Bamboo Basketry. Registered generational family unit.	Artisan Cluster, North District, Mizoram	N/A	Artisan MIZ-103
Artisan MIZ-104	Handloom Textile	N/A	Central District	Mizoram	[20.0000, 78.0000]	8	Handloom Textile Specialty	Traditional regional craft passed down through heritage families.	Master craft specialist creating premium Handloom Textile. Registered generational family unit.	Artisan Cluster, Central District, Mizoram	N/A	Artisan MIZ-104
Artisan MIZ-105	Terracotta Clay Art	N/A	East District	Mizoram	[21.0000, 79.0000]	9	Terracotta Clay Art Specialty	Hand-fired soil pottery made using local earthy clay blends.	Master craft specialist creating premium Terracotta Clay Art. Registered generational family unit.	Artisan Cluster, East District, Mizoram	N/A	Artisan MIZ-105
Artisan MIZ-106	Bamboo Basketry	N/A	North District	Mizoram	[22.0000, 80.0000]	8	Bamboo Basketry Specialty	Woven utility products structured using splits of mature forest timber stems.	Master craft specialist creating premium Bamboo Basketry. Registered generational family unit.	Artisan Cluster, North District, Mizoram	N/A	Artisan MIZ-106
Artisan MIZ-107	Handloom Textile	N/A	Central District	Mizoram	[20.0000, 78.0000]	9	Handloom Textile Specialty	Traditional regional craft passed down through heritage families.	Master craft specialist creating premium Handloom Textile. Registered generational family unit.	Artisan Cluster, Central District, Mizoram	N/A	Artisan MIZ-107
